Tool ID,Tool Type,Elasticity,Angle,Length,Extra Info
0,Ramp,0.1,0.0,6.0,{'friction': 1.0}
1,Ramp,0.1,0.0,10.0,{'friction': 1.0}
2,Ramp,0.1,0.0,14.0,{'friction': 1.0}
3,Ramp,0.1,0.0,18.0,{'friction': 1.0}
4,Ramp,0.1,0.0,22.0,{'friction': 1.0}
5,Ramp,0.1,0.2617993877991494,6.0,{'friction': 1.0}
6,Ramp,0.1,0.2617993877991494,10.0,{'friction': 1.0}
7,Ramp,0.1,0.2617993877991494,14.0,{'friction': 1.0}
8,Ramp,0.1,0.2617993877991494,18.0,{'friction': 1.0}
9,Ramp,0.1,0.2617993877991494,22.0,{'friction': 1.0}
10,Ramp,0.1,0.5235987755982988,6.0,{'friction': 1.0}
11,Ramp,0.1,0.5235987755982988,10.0,{'friction': 1.0}
12,Ramp,0.1,0.5235987755982988,14.0,{'friction': 1.0}
13,Ramp,0.1,0.5235987755982988,18.0,{'friction': 1.0}
14,Ramp,0.1,0.5235987755982988,22.0,{'friction': 1.0}
15,Ramp,0.1,0.7853981633974483,6.0,{'friction': 1.0}
16,Ramp,0.1,0.7853981633974483,10.0,{'friction': 1.0}
17,Ramp,0.1,0.7853981633974483,14.0,{'friction': 1.0}
18,Ramp,0.1,0.7853981633974483,18.0,{'friction': 1.0}
19,Ramp,0.1,0.7853981633974483,22.0,{'friction': 1.0}
20,Ramp,0.1,1.0471975511965976,6.0,{'friction': 1.0}
21,Ramp,0.1,1.0471975511965976,10.0,{'friction': 1.0}
22,Ramp,0.1,1.0471975511965976,14.0,{'friction': 1.0}
23,Ramp,0.1,1.0471975511965976,18.0,{'friction': 1.0}
24,Ramp,0.1,1.0471975511965976,22.0,{'friction': 1.0}
25,Ramp,0.1,1.3089969389957472,6.0,{'friction': 1.0}
26,Ramp,0.1,1.3089969389957472,10.0,{'friction': 1.0}
27,Ramp,0.1,1.3089969389957472,14.0,{'friction': 1.0}
28,Ramp,0.1,1.3089969389957472,18.0,{'friction': 1.0}
29,Ramp,0.1,1.3089969389957472,22.0,{'friction': 1.0}
30,Ramp,0.1,1.5707963267948966,6.0,{'friction': 1.0}
31,Ramp,0.1,1.5707963267948966,10.0,{'friction': 1.0}
32,Ramp,0.1,1.5707963267948966,14.0,{'friction': 1.0}
33,Ramp,0.1,1.5707963267948966,18.0,{'friction': 1.0}
34,Ramp,0.1,1.5707963267948966,22.0,{'friction': 1.0}
35,Ramp,0.1,1.8325957145940461,6.0,{'friction': 1.0}
36,Ramp,0.1,1.8325957145940461,10.0,{'friction': 1.0}
37,Ramp,0.1,1.8325957145940461,14.0,{'friction': 1.0}
38,Ramp,0.1,1.8325957145940461,18.0,{'friction': 1.0}
39,Ramp,0.1,1.8325957145940461,22.0,{'friction': 1.0}
40,Ramp,0.1,2.0943951023931953,6.0,{'friction': 1.0}
41,Ramp,0.1,2.0943951023931953,10.0,{'friction': 1.0}
42,Ramp,0.1,2.0943951023931953,14.0,{'friction': 1.0}
43,Ramp,0.1,2.0943951023931953,18.0,{'friction': 1.0}
44,Ramp,0.1,2.0943951023931953,22.0,{'friction': 1.0}
